Timestamp,Source_IP,Destination_IP,Protocol,Packet_Size,TCP_Window_Size,TCP_Flags,TLS_Handshake_Type,Inter_Arrival_Time,Flow_ID,Flow_Size
1740492633.342566,10.9.11.203,142.250.200.229,TCP,66,65535,0x0002,,,10.9.11.203 -> 142.250.200.229,1
1740492633.401607,142.250.200.229,10.9.11.203,TCP,66,65535,0x0012,,,142.250.200.229 -> 10.9.11.203,1
1740492633.401891,10.9.11.203,142.250.200.229,TCP,54,65280,0x0010,,0.05932497978210449,10.9.11.203 -> 142.250.200.229,2
1740492633.403173,10.9.11.203,142.250.200.229,TCP,457,65280,0x0018,1,0.0012819766998291016,10.9.11.203 -> 142.250.200.229,3
1740492633.462783,142.250.200.229,10.9.11.203,TCP,56,268544,0x0010,,0.06117606163024902,142.250.200.229 -> 10.9.11.203,2
1740492633.462783,142.250.200.229,10.9.11.203,TCP,56,268288,0x0010,,0.0,142.250.200.229 -> 10.9.11.203,3
1740492633.47823,142.250.200.229,10.9.11.203,TCP,1434,268288,0x0010,2,0.015446901321411133,142.250.200.229 -> 10.9.11.203,4
1740492633.47823,142.250.200.229,10.9.11.203,TCP,1434,268288,0x0018,,0.0,142.250.200.229 -> 10.9.11.203,5
1740492633.47823,142.250.200.229,10.9.11.203,TCP,1434,268288,0x0010,,0.0,142.250.200.229 -> 10.9.11.203,6
1740492633.47823,142.250.200.229,10.9.11.203,TCP,1261,268288,0x0018,8,0.0,142.250.200.229 -> 10.9.11.203,7
1740492633.491256,10.9.11.203,142.250.200.229,TCP,128,65280,0x0018,8,0.08808302879333496,10.9.11.203 -> 142.250.200.229,4
1740492633.555282,142.250.200.229,10.9.11.203,TCP,1002,268288,0x0018,4,0.07705211639404297,142.250.200.229 -> 10.9.11.203,8
1740492633.607113,10.9.11.203,142.250.200.229,TCP,54,64512,0x0010,,0.11585688591003418,10.9.11.203 -> 142.250.200.229,5
